top200_Celf4_targets,top500_Celf4_targets,parikshak_2016_ctx.M4,parikshak_2016_ctx.M9,parikshak_2016_ctx.M10,parikshak_2016_ctx.M16,parikshak_2016_ctx.M19,parikshak_2016_ctx.M20,psychEncode_ASD_FDR<0.01,psychEncode_ASD_FDR<0.001,psychEncode_SCZ_FDR<10e-5,psychEncode_SCZ_FDR<10e-9,psychEncode_BD_FDR<0.01,psychEncode_BD_FDR<0.001,SFARI_ASD_Candidate,FMRP_targets_Darnell_2014,conserved_CHD8_promoters_Cotney_2015,CPEB4_binding_Parras_2018,Rbfox1_up_target_genes_Lee_2016,All_Rbfox1_regulated_genes_lee_2016,All_Rbfox1_3'UTR_targets_Lee_2016
ENSMUSG00000032194,Alg2,CHMP4B,CA12,EPDR1,PJA2,PXN,CRYBB1,ABCA1,ABCA1,BCL6,BCL6,C1orf213,C1orf213,KAT2B,ANK1,RCC2,Cops2,Gabrg2,Wasf1,Scamp1
ENSMUSG00000042246,Ano3,NUP93,SRI,HUWE1,ATXN7L3,ICAM1,DOK5,GNG12,GNG12,CYSLTR1,CYSLTR1,DACH2,DACH2,KATNAL2,LRRC7,IFFO2,Dcun1d5,Gde1,Smpd3,Scn2a1
ENSMUSG00000030096,App,MYEF2,UNG,GNAS,DOCK3,IRAK3,COL20A1,RCAN2,RCAN2,MR1,MR1,DGAT2,DGAT2,KDM5B,ATP6V0A1,UBR4,Ccnt2,Gpd2,Zfp239,Serinc1
ENSMUSG00000018427,Arl5c,CLPTM1,MBNL3,,ATRN,LYZ,TRIB3,VIM,VIM,CDC42,CDC42,EEF2K,EEF2K,KDM6A,TRIO,MRTO4,Ythdf3,Gpr158,Lypd6b,Slitrk1
ENSMUSG00000015488,Arx,TAX1BP1,GPR137B,CDIP1,MLF2,PLEKHG2,MXRA5,RP11-123O22.1,RP11-123O22.1,KCNA5,KCNA5,MT1X,MT1X,KMT2A,CLEC16A,EMC1,Hnrnpd,Hpca,Cd24a,Snap25
ENSMUSG00000021466,Arxes1,TAF6,SLC25A43,DDX24,NRCAM,GADD45B,FNDC3A,SYT17,SYT17,CARTPT,CARTPT,FAM101B,FAM101B,KMT2C,FAM65A,CAPZB,Tspan2,Kcna1,Grm1,Snhg11
ENSMUSG00000027078,Arxes2,BLVRA,NEBL,MAEA,WDR7,HMOX1,KLF5,CAMTA1,CAMTA1,FBXO9,FBXO9,TCEA3,TCEA3,KMT5B,RTN4R,CAPZB,Ptbp2,Kcnip1,Eif2ak2,Synpr
ENSMUSG00000028247,Asph,LIMK1,TULP3,AARS,SLC22A17,APOL1,PLA2G15,PLCB1,PLCB1,WIPF3,WIPF3,TUBA3D,TUBA3D,LEO1,INPP4A,CAMK2N1,Stag2,Kcnq3,Grb14,Syt1
ENSMUSG00000032431,Atl1,GBF1,ADCYAP1R1,SUPT16H,ACOT7,CSF2RB,TOX3,CCDC104,CCDC104,IFITM3,IFITM3,OCLN,OCLN,MACROD2,MYO16,HP1BP3,Phf6,Kcnq5,Igf2,Tfrc
ENSMUSG00000078667,Atp11c,MTPAP,SLC1A3,TOM1,ADRBK2,PYGL,SYT17,STRBP,STRBP,SH3BP1,SH3BP1,KLRK1,KLRK1,MAGEL2,PREX2,EIF4G3,4632415L05Rik,Klc2,Kcnip2,Tmem30a
ENSMUSG00000020091,Atp13a3,SHOC2,CDC14A,CHGA,SEZ6L,NFKBIA,HOMER2,FAM49B,FAM49B,SLC35G1,SLC35G1,LANCL3,LANCL3,MBOAT7,ARAP2,EIF4G3,Marcks,Klhl2,Ifi203,Tmem33
ENSMUSG00000028476,Atp1b1,CCDC47,LRRC16A,PSMC1,PPP3R1,NFATC2,GABPB1,PID1,PID1,GDF10,GDF10,GIMAP6,GIMAP6,MECP2,MAP4,USP48,Ints7,Klhl23,Snhg11,Tnks2
ENSMUSG00000052479,Atp1b3,RAPGEF2,PGM1,CCDC25,3-Sep,MYL12A,RELB,SFMBT2,SFMBT2,ZC3HAV1,ZC3HAV1,TFAP2E,TFAP2E,MED13,VPS13D,CDC42,Pigm,Limd2,Med9,Tspan5
ENSMUSG00000071285,Atp2a2,C11orf63,SLC4A4,PGK1,SYNGR1,ELF4,TNNT1,HIVEP2,HIVEP2,VASN,VASN,ELL,ELL,MED13L,FAM120A,KDM1A,Smarcad1,Lin7c,1700052N19Rik,Tspan7
ENSMUSG00000050910,Atp2b2,UBE4A,STK17B,CD99L2,GOT1,GABRE,OLFM2,PPIP5K2,PPIP5K2,PPARG,PPARG,ICAM5,ICAM5,MET,R3HDM1,HNRNPR,Rap2c,Lrp11,Abi1,Ttc3
ENSMUSG00000000078,Atp2b4,VPS29,ITGB5,USP11,EEF1A2,EHD4,CAV2,SLC4A8,SLC4A8,SLITRK4,SLITRK4,CD244,CD244,MSNP1AS,ARID1B,GALE,Impad1,Lsm11,Cabp7,Ugcg
ENSMUSG00000024142,Atp6ap2,RAB5B,BCKDHB,MAGED2,TM9SF4,BMF,YKT6,BCCIP,BCCIP,TMEM169,TMEM169,PZP,PZP,MYT1L,SLC4A8,GALE,AI593442,Mapk10,Ppp3ca,Usp33
ENSMUSG00000031808,Atp8a1,NCOA7,FAT1,DNAJA3,USP14,GSDMD,PLGRKT,GPIHBP1,GPIHBP1,SERTAD4,SERTAD4,GALNT16,GALNT16,NAA15,FAM160A2,GALE,Tmem56,Mapk9,Nudt4,Vsnl1
ENSMUSG00000073700,Atxn1,GLTSCR1L,HADHA,VPS18,STS,TNFRSF10A,CXCL12,RNF157,RNF157,P2RY12,P2RY12,GADD45B,GADD45B,NCKAP1,KIF1B,SRRM1,Matr3,Mcts1,Dcx,15-Sep
ENSMUSG00000018537,Azin1,MRPS27,CD59,NEFL,SLC25A14,SYDE1,SLAIN2,PDE4DIP,PDE4DIP,C4B-AS1,C4B-AS1,F8A2,F8A2,NCOR1,ATP9A,TMEM50A,Dcun1d1,Med9,Atp2b4,2310044H10Rik
ENSMUSG00000048486,B3galnt1,DROSHA,CPNE3,MCM4,FGF14,SLC1A5,USP46,AKR1C3,AKR1C3,C4A-AS1,C4A-AS1,BAIAP3,BAIAP3,NLGN3,CYFIP2,TMEM57,Fbxl3,Mpv17l,Pclo,Adam23
ENSMUSG00000032902,B4galt5,RAD50,HSD17B14,LIN7B,KATNAL1,PLEKHA4,AADAT,ASB13,ASB13,UBE2L6,UBE2L6,RASD1,RASD1,NRXN1,PUM2,MIR3917,Agfg1,Nat8l,Scn1b,Adora1
ENSMUSG00000024883,B4galt6,UNC5A,MT3,GPI,CCDC113,NAMPT,MFSD10,SCN1B,SCN1B,NLRP1,NLRP1,SH3BP1,SH3BP1,PHF3,ZFR,STMN1,Rpusd2,Ncoa1,Senp2,Akap11
ENSMUSG00000039976,B630019K06Rik,EHBP1,PIR,FKBP8,GDAP1,ZC3HAV1,UGDH,HECW1,HECW1,ACYP2,ACYP2,CPED1,CPED1,POGZ,RC3H2,STMN1,Spata5l1,Nefm,Map6d1,Alg2
ENSMUSG00000066043,BC057079,KIAA1324,SMOX,GTPBP10,ARMC1,NOD1,CCND1,TRIM37,TRIM37,AGPAT2,AGPAT2,CDYL,CDYL,PTCHD1,RASGRF1,STMN1,Cfl2,Neurod2,Arpp19,Atp1b1
ENSMUSG00000070348,Bag4,OPTN,SNX5,OGDH,PLD3,TGFBR1,SH2B3,HERC5,HERC5,EMCN,EMCN,RP11-660L16.2,RP11-660L16.2,PTEN,CDK17,PDIK1L,Prpf4b,Nptx1,Tnpo1,Atp2b1
ENSMUSG00000020623,Baiap3,MECR,HEPH,ANKMY2,NAPA,MAP3K8,CDK2AP1,MTMR11,MTMR11,CD244,CD244,CYP1B1-AS1,CYP1B1-AS1,RANBP17,PSD,PDIK1L,Sacs,Npy,Capza2,Atp6v0e2
ENSMUSG00000020684,Bcap29,KCNC4,ITGA6,CORO2A,ATP1A3,FAM20A,MDGA1,CAMK4,CAMK4,FMNL1,FMNL1,METTL12,METTL12,RELN,WNK1,ARID1A,Fyttd1,Nras,Cnih,Cadm2
ENSMUSG00000019947,Bcl11b,EXOC8,,DNM1,MEGF8,SLC15A3,PTP4A1,TGIF1,TGIF1,C1R,C1R,SPN,SPN,RIMS1,RIMBP2,WDTC1,Ankrd49,Nt5dc3,Tomm70a,Cadm3
ENSMUSG00000033960,Bdnf,EBNA1BP2,STON2,SH3GL2,PPP2R1A,TCIRG1,COL9A1,PVALB,PVALB,A2M,A2M,THAP9-AS1,THAP9-AS1,SCN2A,NCKAP1,LOC644961,Wwtr1,Ola1,Camk2a,Chn1
ENSMUSG00000022297,Bex2,SUPT7L,TGFB2,SPOCK2,STRBP,CLEC2B,PHACTR2,ITM2A,ITM2A,TRIM25,TRIM25,HILPDA,HILPDA,SCN9A,TNK2,TMEM222,Tiparp,Pak1,Ola1,Clcn4-2
ENSMUSG00000053414,Bmpr2,IQSEC3,SUCO,CPEB3,CUL2,LTBR,PTK7,PLEKHA4,PLEKHA4,LANCL3,LANCL3,RRN3P1,RRN3P1,SET,MON2,MED18,Klf10,Pclo,Lin7c,Cpe
ENSMUSG00000038705,Bsn,GTDC1,SH3GLB1,MCF2,CNTNAP1,DSE,TBX18,UBL7,UBL7,LPAR6,LPAR6,RERGL,RERGL,SETD5,ELMO2,PHACTR4,Gpm6a,Pcp4l1,Kcnq5,Dpysl2
ENSMUSG00000064145,Btbd3,OCRL,ABLIM1,MAPK10,TMEM33,STK38,SEMA5A,RAB37,RAB37,RFX3,RFX3,TMC5,TMC5,SHANK2,EPN1,RCC1,Pafah1b2,Phyhipl,Rap1gds1,Fam49b
ENSMUSG00000049721,C030044B11Rik,PMS2,PRTFDC1,PRPF19,OCIAD1,TRIM38,ARSB,CALM2,CALM2,SLC7A2,SLC7A2,CTC-471F3.5,CTC-471F3.5,SHANK3,HIPK2,GMEB1,Ptprd,Pnoc,Klhl2,Gabra1
ENSMUSG00000070561,C1ql3,VPS26A,SLC25A1,PTPN5,CCKBR,ATP6V0E1,NPR3,CPLX1,CPLX1,LL0XNC01-16G2.1,LL0XNC01-16G2.1,LRRC37A17P,,SLC6A1,AP3D1,YTHDF2,Tmem123,Polr3k,Vps35,Gabrb3
ENSMUSG00000024660,C230004F18Rik,SPRYD7,MTMR3,USP5,KIAA1549L,BCL6,WWC1,GDPD1,GDPD1,GLIS3,GLIS3,OXCT2,,SMARCC2,IPO5,YTHDF2,Yipf5,Ppp1r9a,Ppp1r9a,Glul
ENSMUSG00000037110,C530008M17Rik,NKRF,MLC1,ST8SIA1,MADD,MOB1A,DPYSL3,CACHD1,CACHD1,C4B,C4B,UBL4A,,SPAST,SPEN,YTHDF2,Fcho2,Ppp3r1,Ppp3r1,Gpm6b
ENSMUSG00000020154,C77370,TOX2,CGRRF1,TDP2,ATP5B,CYTIP,ERGIC1,NEDD4,NEDD4,RERGL,RERGL,ITPKC,,SRCAP,DIP2B,SRSF4,Atl3,Prrt2,Dpp10,Gpr158
ENSMUSG00000030731,Cacna1d,GGA3,ARHGAP5,ENPP5,UHRF1BP1L,IL1R1,OGG1,NT5DC1,NT5DC1,STON2,STON2,LINGO2,,SRSF11,NGEF,PUM1,Ube2v2,Rab40b,Fam168b,Gpr37l1
ENSMUSG00000066148,Cacna2d1,BCL11B,NFATC4,MRPS30,CMAS,PRKD3,RNF7,ASAP3,ASAP3,KIAA1045,KIAA1045,G2E3,,SYNGAP1,ATG2B,SERINC2,Snrpb2,Rap1gds1,Camk4,Gria3
ENSMUSG00000044927,Camk1d,SMARCA4,PLTP,GABRG2,C2CD5,CD58,BCHE,SLCO2A1,SLCO2A1,ORAI2,ORAI2,CDH3,,TAOK2,ARFGEF1,SERINC2,Slc25a32,Rassf5,Smg7,Grm4
ENSMUSG00000032193,Camk2n1,KCNC1,BMP7,TTC33,SERINC1,NID1,HES1,KCNS1,KCNS1,HPCAL1,HPCAL1,MCM6,,TBL1XR1,CACNB1,TMEM39B,Cnot6,Rgs17,Kcna1,Itm2c
ENSMUSG00000012443,Casd1,KIF1A,SLMO2,SLC25A36,FBXO9,CTBS,GNB4,C4B-AS1,C4B-AS1,TNFSF10,TNFSF10,ZNF831,,TBR1,TRO,KPNA6,Serp1,Rgs7bp,B4galt6,Kcnc1
ENSMUSG00000029911,Cbfb,RSPH3,NKAIN4,GLS,CAP2,GBP3,NCBP2,C4A-AS1,C4A-AS1,CALB1,CALB1,MYCT1,,TCF20,SYT1,RBBP4,Vstm2a,Rgs8,Zfp238,Kcnk1
ENSMUSG00000060032,Cbx3,UBE4B,SNTA1,QPCT,NNT,GBP1,OTOF,UBE2L6,UBE2L6,CENPN,CENPN,TMEM9,,TNRC6B,NAV3,RBBP4,Ogt,Rnf165,Luzp1,Kcnq3
ENSMUSG00000029287,Cbx4,UBA1,CST3,ORC4,COL4A3BP,RAB7L1,GPD2,NDUFS1,NDUFS1,ATAD2,ATAD2,TOM1,,TRIO,HDAC4,RBBP4,Mex3c,Rph3a,Necab1,Lmtk2
ENSMUSG00000044636,Ccdc45,GGT7,ZNF516,MFN2,PAFAH1B1,ECE1,FAM184A,SLC36A1,SLC36A1,PML,PML,SCIMP,,TRIP12,PPP2R5B,ZBTB8OS,Prkaa2,Serbp1,Prr3,Ncald
ENSMUSG00000062115,Cd200,KCNC3,MYOM1,RIMS3,PEX5L,ID3,RGS2,GARNL3,GARNL3,GPR61,GPR61,CISH,,UBN2,MAST4,S100PBP,Ube2k,Setd7,Camkk2,Nsg2
ENSMUSG00000020846,Cd47,ANKRD17,LAMA1,KIF17,ADAM23,C1orf54,ETV3,DIRAS1,DIRAS1,CLASP2,CLASP2,CELSR1,,UPF3B,NEDD4,S100PBP,Cnot4,Shroom2,Ypel5,Olfm3
ENSMUSG00000028101,Cdh7,TERF2,TBL1X,INA,CHMP3,TNFAIP3,KDM5B,CLEC2L,CLEC2L,RBP4,RBP4,FAHD2A,,USP15,SPTB,YARS,Skil,Skil,Mal2,Pld3
ENSMUSG00000040661,Cdk8,SYT11,GPR143,PPL,RAB3GAP1,FLVCR2,AKAP7,FAM192A,FAM192A,CECR6,CECR6,TIMM17B,,USP7,NDST1,ZNF362,Slc35f1,Slmap,Banf1,Pnkd
ENSMUSG00000035062,Cdkl5,MEN1,NXT2,AVPI1,AAK1,ELF1,MYB,DDAH2,DDAH2,PXN,PXN,C17orf102,,WAC,MAP4K4,PHC2,Abcg1,Smg7,Ahcyl1,Ppp3r1
ENSMUSG00000026339,Cetn2,CTIF,CHRDL1,SLC8A1,FARSB,TNFRSF10B,TRIM67,GTF2A1L,GTF2A1L,ANKRD35,ANKRD35,PPM1J,,WDFY3,SPEG,SFPQ,Ipmk,Smpd3,Mef2a,Prkacb
ENSMUSG00000061778,Chl1,ROCK2,RENBP,PDE1B,DHCR24,CALD1,PTBP3,DGCR9,DGCR9,SEMA4B,SEMA4B,ARHGAP20,,,AFF4,ZMYM4,Gmeb1,Snhg11,AW549877,Ptplad1
ENSMUSG00000020709,Chrm2,KCTD1,SYTL4,ATPAF1,DNAJC16,SRGN,MAPKAP1,FBXO9,FBXO9,DTD2,DTD2,PRF1,,,CRMP1,MAP7D1,Plxnc1,Snx16,Tmem170b,Rtn1
ENSMUSG00000021994,Chrm3,SRPR,METRN,RAB9B,B4GALT6,NMI,UFM1,ABCG4,ABCG4,SEMA3G,SEMA3G,CTA-390C10.10,,,FRY,TRAPPC3,Ppm1a,Stac2,Gpc3,Rtn3
ENSMUSG00000040711,Chrna7,TESPA1,FER,VAPB,MRPL37,BTN2A3P,ADRA1A,CD63,CD63,PCDHGA2,PCDHGA2,UNC5B-AS1,,,NSF,MEAF6,Fbxo11,Sult4a1,Calb2,Scg5
ENSMUSG00000054823,Chsy3,NDUFB5,ACSBG1,ARFGEF2,DNAJC6,CDKN1A,POLR3GL,PGAM2,PGAM2,ITGAX,ITGAX,CLEC14A,,,CLASP1,MANEAL,Mzt1,Tmem179,Fam131a,Scn1a
ENSMUSG00000027981,Clcn3,TBR1,CTSH,MOCS3,AKT3,RREB1,RASL11A,YAP1,,RAB20,RAB20,C9orf89,,,PPP2R2C,MANEAL,Nfyb,Tnpo1,Shank1,Scn8a
ENSMUSG00000036913,Cmtm7,STXBP1,FAH,TBCC,CAMSAP2,SH3TC1,NT5C3A,ATP5A1,,SLC38A5,SLC38A5,FCGR3B,,,DPP8,YRDC,Fam126b,Tomm70a,Fut11,Sdf4
ENSMUSG00000006736,Cnksr2,FRS3,TJP1,DTD1,SGIP1,IRF1,BICC1,SRGAP1,,FAM13B,FAM13B,WDR25,,,KCNQ2,C1orf122,Ide,Trim37,Wipf3,Sepp1
ENSMUSG00000036737,Cnr1,TPMT,ZDHHC2,TMX4,GPR158,TRIP10,NCOA3,UBTD1,,ZNF831,ZNF831,VASN,,,EIF4G3,AKIRIN1,Cask,Ufd1l,Zmat2,Serinc3
ENSMUSG00000000142,Cntn4,MAP2K5,EYA1,BECN1,CNNM1,VASP,XPO5,RP11-482E14.1,,AC018647.3,AC018647.3,OVGP1,,,FSCN1,ZMPSTE24,Vldlr,Usp22,Stac2,Slc24a2
